timestamp,event_type,key_state,mouse_x,mouse_y,mouse_button
1788199637.6085305,mouse_move,,1772,454,
1788199637.6165302,mouse_move,,1840,444,
1788199637.624558,mouse_move,,1902,437,
1788199637.632571,mouse_move,,1955,428,
1788199637.6405933,mouse_move,,1990,423,
1788199637.6485023,mouse_move,,2039,411,
1788199637.6565619,mouse_move,,2061,402,
1788199637.664494,mouse_move,,2080,395,
1788199637.6725216,mouse_move,,2095,389,
1788199637.68047,mouse_move,,2106,387,
1788199637.6885285,mouse_move,,2108,386,
1788199637.6965437,mouse_move,,2115,383,
1788199637.7044766,mouse_move,,2116,382,
1788199637.7450328,mouse_move,,2117,381,
1788199637.7605708,mouse_move,,2121,377,
1788199637.768638,mouse_move,,2122,375,
1788199637.7764783,mouse_move,,2122,374,
1788199637.7845154,mouse_move,,2124,372,
1788199637.7924788,mouse_move,,2126,369,
1788199637.889055,mouse_click,down,2126,369,Button.left
1788199638.0331268,mouse_click,up,2126,369,Button.left
1788199638.1127188,mouse_move,,2128,368,
1788199638.1449783,mouse_move,,2129,368,
1788199638.1526005,mouse_move,,2133,368,
1788199638.1606538,mouse_move,,2138,368,
1788199638.1685421,mouse_move,,2145,366,
1788199638.1765754,mouse_move,,2156,362,
1788199638.1845503,mouse_move,,2168,359,
1788199638.1925678,mouse_move,,2179,353,
1788199638.2005606,mouse_move,,2196,349,
1788199638.2085536,mouse_move,,2213,342,
1788199638.2166176,mouse_move,,2235,336,
1788199638.2246337,mouse_move,,2254,329,
1788199638.2325375,mouse_move,,2273,325,
1788199638.2405243,mouse_move,,2287,319,
1788199638.2484767,mouse_move,,2302,315,
1788199638.2565563,mouse_move,,2311,309,
1788199638.2645686,mouse_move,,2320,308,
1788199638.272552,mouse_move,,2324,303,
1788199638.2804694,mouse_move,,2331,300,
1788199638.2884817,mouse_move,,2332,298,
1788199638.2965486,mouse_move,,2338,294,
1788199638.30447,mouse_move,,2342,293,
1788199638.3125548,mouse_move,,2345,290,
1788199638.3205004,mouse_move,,2346,289,
1788199638.3285122,mouse_move,,2347,288,
1788199638.3446105,mouse_move,,2348,288,
1788199638.6089575,mouse_move,,2349,288,
1788199638.8649619,mouse_move,,2351,288,
1788199638.880587,mouse_move,,2351,290,
1788199638.8888457,mouse_move,,2351,293,
1788199638.8965392,mouse_move,,2351,294,
1788199638.9126353,mouse_move,,2351,296,
1788199638.9289029,mouse_move,,2351,299,
1788199638.9449909,mouse_move,,2351,300,
1788199638.9606082,mouse_move,,2351,301,
1788199638.9926827,mouse_move,,2351,302,
1788199639.0085156,mouse_move,,2351,305,
1788199639.0324914,mouse_move,,2351,306,
1788199639.0405157,mouse_move,,2351,307,
1788199639.0645144,mouse_move,,2352,308,
1788199639.4965668,mouse_move,,2352,312,
1788199639.6005535,mouse_move,,2352,313,
1788199640.0572016,mouse_move,,2350,314,
1788199640.3766668,mouse_move,,2349,315,
1788199640.38453,mouse_move,,2338,320,
1788199640.3924646,mouse_move,,2332,323,
1788199640.400486,mouse_move,,2315,330,
1788199640.408515,mouse_move,,2303,333,
1788199640.4165006,mouse_move,,2292,337,
1788199640.424486,mouse_move,,2278,339,
1788199640.4325314,mouse_move,,2269,343,
1788199640.4405313,mouse_move,,2257,347,
1788199640.4484806,mouse_move,,2251,350,
